map_id|author|name|difficulty|tags|notes
80|MASKSLAVE|MS Racing 1|4.0||Fixed on 2026-01-12
81|ZeroX|FALR (Mini Version)|3.5||
82|Fate|Fuck It|3.0||Fixed on 2026-05-28
83|Eliope|The Way of the Racers (Ancient)|1.0|twotr twor|Fixed on 2026-03-20
84|cowcowtony|Future Trax 2 Fused (Edit by Riblei & Appo)|4.5||
85|Guest Creator|Fall Race|3.5||
86|oNoto|Racing 001 Hard (Full Lava)|3.0||
87|Eliope|Makina Dro Special Training|5.5||
88|Eliope|Port Racers III|0.5||
89|Eliope|Makina Royal + Fire + Ice + TWotR (Fused by Riblei)|4.0||
90|cowcowtony|Racing Volcano (Lava)|3.5||Fixed on 2026-04-18
91|cowcowtony|Bug on the Rose (HD)|5.0|Fixed on 2026-05-18|
92|Rayzu & Riblei|Ex'd II|2.0||
93|Eliope|Makina Dro|3.5||
94|DarkLight|Maze Map|3.0|inactive|
95|Charlotte|Chess l “Pawn”|3.0||
96|Eliope|Blood of the Racers 1 Easy (Edit by Loki)|3.0|botr botr1 inactive|
97|Eliope|Racing Guts|1.0||
98|cowcowtony|Pyramid Trax|3.5||
99|MASKSLAVE|Twins Racing|3.0||
100|Eliope|Troll of the Racers (Edit by Riblei)|4.5||Fixed skating on 2026-05-29
101|Eliope|Nano Racing Vanish|1.0||
102|Sebas Tian|SAC - City Run (Lv2)|4.0||Fixed on 2025-11-30
103|Riblei|Deathdream|5.0||Updated on 2025-11-28
104|PTHunter|Racing Map (Horse Edit)|1.0|horse|
105|ZeroX|Code 30|3.5||
106|Eliope|Nano Racing T|0.5||
107|Eliope|Blood of the Racers 1 (Water Edit by Riblei)|0.5|botr botr1 inactive|
108|AndyXest|Devil's Corridor|3.0||
109|Eliope|Makina Honor + Source (Fused by Riblei)|3.5||
110|Hong Yao|Hard Racing Akina (Grey Walls)|2.0||
111|Eliope|Nano Racing 40 Yards|0.5||
113|Lucy|Ngayn|4.0||Fixed on 2026-05-18
114|Pixell|Antartica|3.0||Fixed on 2026-04-18
115|Nar|NaRacing|6.5||
116|Guest Creator|Short Fall|4.0||Fixed on 2026-05-18
117|cowcowtony|Ancient Trax|4.5||
118|Chrysoprase|The Space Cube in Space (ft. Riblei) [Old Ver.]|4.0||
119|Eliope|Makina Last|3.5||
120|Loki|Unknown (5)|4.5||
121|Eliope|Nano Racing Corridor Left|0.5||
122|Eliope|Blood of the Racers 1 & 2 (Fused by oNoto)|5.0|botr botr1 botr2|
123|cowcowtony|Three Lap Racing|0.5||Fixed on 2026-05-18
124|Riblei|Island Racers 2nd Part Only|3.0||
125|Zil|Irì crystal|3.0||Fixed holes on 2026-02-10
126|Eliope|Race B 1v1|0.5||
128|Eliope|Makina Source LV1 (Texture Edit by Riblei)|1.0||
129|Jaydensofye|Boo Hoo Race Map|1.0||
130|Eliope|ZYX_ZYX (Drunk Edit by Riblei)|4.0||
131|Kari|Racing 2|3.5||
132|Zil|Irì last|1.0||
133|NexS7|The Box (Turns Marked by Fruity)|0.5||Updated on 2026-01-24
134|Eliope|Nano Racing Zig-Zag V|0.5||
135|Alex4win|Akina (Lava, Upside-Down)|3.5||
136|oNoto|LaLy RaceZy|3.0||
137|Riblei|Celestial Marine (Water Edit)|0.5|inactive|ft. Alex4win & Sylvia
138|Parls|PNC|3.5||
139|Dany|The Nuke (Hard)|5.0||Fixed on 2026-01-24
140|Eliope|Blood of the Racers 4 (Edit by zender)|4.5|botr botr4|
141|oNoto|Racing Lava (Tilted Stairs)|3.5||
142|Eliope|Makina Volcano|4.5||
143|Eliope|Nano Racing Curve Left|0.5||
144|Eliope|Makina ABC (Water Edit by Riblei)|0.5|inactive|
145|Aether Ko|The Tower's Trail Route 5|4.0||Fixed by Eliope on 2026-01-09
146|cowcowtony|Lost In Wormhole|0.5|inactive|
147|Esli|Tunnel Racing|3.0||
148|cowcowtony|Interstellar Future Trax|0.5|inactive|
149|Eliope|Makina Skulpt|0.5||Updated on 2026-01-14
150|oNoto|Racing ZOT (Hard)|3.0||
151|Naito|NTK 1|4.5||
152|Juju|SLR 1|2.0||
153|Appolina|Endless Lava Obstacles 2 'Candy Land' (Early Version)|4.0||
154|oNoto|Racing 001 Hard Reversed (Full Lava)|3.0|inactive|
155|Riblei & Eliope|Machina 2 (No Trap Edit by Riblei)|4.5||Fixed CPs on 2026-05-18
156|Riblei|Celestial Bullet|3.0||
157|Sylcium|Long Racing Map|2.0||
158|oNoto|Racing ZOT (Easy)|0.5||
159|Riblei|Track 3|1.0||
160|cowcowtony|Racing Volcano (Normal)|0.5||Fixed on 2026-04-18
161|Eliope|Makina Joconde|0.5||
162|AndyXest|Collapse of the Arenas|1.0||
163|Eliope|Racers Chasm|2.0||Updated on 2026-01-14
164|Eliope|Blood of the Racers 1|4.5|botr botr1|
165|Eliope|Makina Team|0.5||
166|oNoto|Racing 002|2.0||
167|Hong Yao|Purple Highway|0.5||Fixed on 2026-01-03
169|Riblei|Celestial Automatic|4.5||
170|Naito|NTK 2 (Dark Floor)|4.5||
171|Eliope & Riblei|Makina Scratched|4.0||
172|Eliope|Port Racers I|0.5||
173|Crash Bandicoot|Feliz Cumpleaños|5.0||Fixed on 2026-05-19
174|Eliope|Makina ABC (Texture Cool)|3.5||
175|Zil|Irì first|3.5||
176|Zechten|Velocity Buraun|1.5||
177|cowcowtony|Simple Inclined Curve Path|4.0||
178|AndyXest|Attack on the Village|4.5||
179|Riblei & Eliope|Machina 2 (Training Elevator CP Edit by Riblei)|4.0||Fixed CPs on 2026-04-18
180|Aila|Aila 1|3.5||Fixed on 2025-11-23
181|Sebas Tian|SAC - Feng City Run (Lv3)|2.0||
182|Incendium|Inferno 1 Campfire Edition|3.5||
183|Riblei|Escape Rooms (Puzzle)|3.0||Find the small yellow cubes hidden in each of the seven level rooms!
184|Mayoi|OSU Map|5.0||
185|ZeroX|Final V (Completed)|4.0||Fixed on 2026-05-18
186|Sylcium|Hard Racing Map|3.0||
187|Eliope|Cycled Source 1 (Edit by cowcowtony)|0.5||
188|zender|Snail (Hard)|4.5||
189|Eliope|BotR I, II, IV (Tourney Version by Riblei)|4.5|botr botr1 botr2 botr3|
190|Eliope|Port Racers 2 (Lava Edit by Riblei)|3.5||
191|Guest Anon|Long Racing #2|1.0||Fixed on 2026-05-18
192|Riblei|Celestial Ellestra (Visible Lava)|3.5||
193|oNoto|RX001 (V2)|3.5||Fixed on 2026-05-18
195|Konor|Fire Tail; Fire Snake (V1)|3.0||Fixed on 2026-01-15
196|Pixell|Winter Speed (Snow Mountain)|2.0||ft. Riblei, Eliope, Sylcium, Zechten
197|Eliope|Makina ABC (Drunk Edit by Alex4win)|4.0||
198|oNoto|LaLy LoZy Lava|3.5||
199|oNoto|Racing 001 Normal Reversed (Semi Lava)|1.0|inactive|
200|Mb12|Tomb Escape 1|3.0||Fixed holes on 2026-02-01
201|Sylcium|Long Racing Map (Lava Edit by Alex4win)|3.5||
202|Incendium|Inferno 1|6.5||
203|PR0XY|The Sandstone Temple (Lava)|3.5||
204|Eliope|Blood of the Racers 1 Spoopy Spedition (Edit by Riblei, Alex4win)|4.5|botr botr1|Fixed on 2026-05-28
205|Riblei|Celestial Automatic (Short)|4.5||
207|Sebas Tian|SAC - Underground Hunt|3.0||
209|Kari|The Lava Cave|4.0||
210|oNoto|LaLy Rainracer (Color)|0.5||
211|Charlotte|Chess lll “Knight”|6.5||Fixed on 2025-11-19
213|Mb12|Unfinished Lava Map|4.5||Finish Added
214|Eliope|Nano Racing Corridor Right|0.5||
215|Mb12|New Galaxy Race|3.5||Fixed on 2026-01-25
216|cowcowtony|Roller Coaster Type C (Easy)|0.5|inactive|
217|Nexus|Racing map (Turns Marked by Fruity)|0.5||Updated on 2025-12-26
218|Eliope|Race A (Edit by Riblei)|0.5||
219|MASKSLAVE|H.O.T|3.5|HOT|
220|Sebas Tian|SAC - Cargo Chase|2.0||
221|oNoto|Lava Blood Normal|3.5||
222|Eliope|Makina Source Lv2|3.0||
224|Eliope|Makina Speed ASO (Cyan Edit by NexS7)|0.5||
225|Eliope|Makina IcecI|0.5||
226|LuigiKkjk|Z Racing|2.0||Fixed on 2026-05-18
227|Regen|Swing Swing|1.0|inactive|
228|Nabsin|Akina 2.0 |0.5||
229|Eliope|Nawak 2|3.5||
230|Kari|Racing 2 (Nightmare)|4.0||
231|Alpi|Galactic Hell|4.0||Fixed on 2026-05-28
232|Eliope|Makina Fire|1.0||
233|Puttepers & Sylvy|PS2|5.0||Fixed on 2025-11-18
234|Zil|UwU|3.0||
235|Guest Creator|Saturn|4.5||Fixed by Riblei on 2025-11-01
236|MASKSLAVE|Sweet Wood Racing|2.0||Fixed on 2026-04-01
237|Eliope|Avenue + ZYX_ZYX (Fused by Riblei)|4.0||
238|Riblei & Eliope|Machina 2|4.5||Updated by Eliope & Riblei on 2026-01-20;Fixed CPs on 2026-04-18
239|Eliope|Port Racers + TWotR (Fused by Riblei)|2.5||
240|cowcowtony|Escape from the Sun (Water Edit by Riblei)|0.5|inactive|
241|Eliope|Makina Speed (ASO)|0.5||
242|ZeroX|Yato|1.5||Fixed on 2026-05-05
244|Pixell|Winter Speed (Monochrome)|2.0||ft. Eliope, zender, Sylcium, Zechten
245|MASKSLAVE|MASKSLAVE 6|3.5||
246|Kyoi|Team Death Run|4.5||Fixed on 2026-01-18
247|Mayoi|[DC] Speed Race|3.0||Fixed on 2026-06-05
248|cowcowtony|Future Trax 8|5.5||
249|Appolina|Endless Lava Obstacles 2 'Candy Land'|3.5||
250|Eliope|Makina Royal Upside-Down (Edit by Unknown)|2.0||
251|Eliope|Nano Racing Curve Right|0.5||
252|cowcowtony|Future Trax 1|3.5||Fixed on 2026-01-28
253|Eliope|Makina Source LV1 (Snowing Edit by Riblei)|1.0||Restored snow effects on 2026-01-11
254|Riblei|Machina Classic (Old Version)|4.0||
255|oNoto|Racing LST|4.0||
256|Aila|Aila 3|3.5||
257|Guest Creator|Ice World|5.5||Fixed on 2026-01-06
258|Riblei|Going Around Experimental|1.5||
259|Sebas Tian|SAC - Sling Shot|1.5||
260|Appolina|Endless Lava Obstacles 3 'Tribute' (V2)|2.5|elor elor3|
261|cowcowtony|Rainbow Road SNES (No Hooks)|1.0|inactive|
262|oNoto|EZNooB|2.0||
263|Chrysoprase|The Space Cube in Space (ft. Riblei)|4.0||
264|AndyXest|Collapse of the Arenas (Lava)|2.0||
265|Eliope|Makina Team (Matrix)|1.0||
266|Unknown Guest Creator|Gift|2.0||
267|Sylvia|Perrie Map|3.5||
268|Eliope|Training Avenue|0.5||
269|Rayzu|RBLR|3.5||
270|Eliope|Makina Speed (Lava Edit by Riblei)|3.5||
271|Pixell|Winter Speed|2.0||
272|Unknown|VN Map Maker's Tiny Untitled Lava Map|3.5||
273|Mb12|Galaxy Race|3.5||Fixed on 2026-01-25
274|KaiPlus|Kai's Dungeon (Racing Edit by Fruity)|2.5|inactive|
275|Riblei|Celestial Automatic (Short, Thicker Poles)|4.0||
276|cowcowtony|Circular Race|0.5||
277|Esli|Tube Map|4.5||
278|MASKSLAVE|Poll Racing|5.0||
279|Guest Anon|Pro Hard Racing|2.0||
280|Eliope|Makina Speed + Team (Fused by Riblei)|3.0||
281|Riblei|Falling Candies (Obstacle Edit)|4.0||
282|Aila|Aila 2|3.5||
283|Keno|Purp|0.5||
284|DesertFalcon|Supermarket (Revolt map)|0.5||Fixed on 2026-02-12
285|Zil|irì city|2.0||
286|oNoto|LaLy Short Lava|3.5||
287|Appolina|Red Mirrored Akina (Beta Version)|4.0||
288|Loki|Unknown (4)|4.0||
289|Unknown|VN Map Maker's Untitled Lava Map|4.5||
290|Envy|Racing Forest|2.0||Fixed on 2026-05-28
292|PR0XY|The Sandstone Temple|3.0||
293|SmoothCatRider|First Racing Map|2.0||Fixed on 2026-01-15
294|Sebas Tian|SAC - Feng City Run (Lv1)|1.0||
295|Zil|Irì ash (Lava Edit by Riblei)|4.0||
296|Eliope|Blood of the Racers 4 Eased (Edit by zender)|4.5|botr botr4|
297|Zil|Ori|3.5||
298|Eliope|Race King Volcano|4.5||
299|AndyXest|Devil's Corridor (Lava)|3.5||
300|Zil|Irì shuriken|2.0||
301|Riblei|Island Racers|3.5||
302|oNoto|Minirace|3.5||
303|Puttepers|Putte's Map (Unfinished)|7.0||Fixed on 2026-05-28
304|Eliope|Makina Royal (Ice Texture by Riblei)|2.0||
305|ZeroX|Very Easy Short Speed Racing Map|1.0||
306|DarkLight|Run 4 Ur Life|2.0||
307|Riblei|Celestial Marine I Super Racers Waterworld (Hard)|5.5|inactive|
308|Cyan|Cyan's Map|3.0||
309|Cherry|A Ride of Love (Lv1)|3.0||
310|Hong Yao|Hong Racing (Lava)|2.0|inactive|
311|cowcowtony|Circular Race (Lava)|3.0||
312|cowcowtony|Rainbow Road SNES (Hookable)|1.0||
313|Hong Yao|Hong’s Racing Akina (Brown Walls)|2.0||
314|Appolina|Endless Lava Obstacles 3 'Tribute' (Final)|3.5||Fixed skating on 2026-04-19
315|Eliope|The Way of the Racers (Dark)|1.0|twotr twor|Fixed on 2026-03-20
316|Eliope|Makina Fire + Ice (Fused by Riblei)|1.0||
317|Hong Yao|Going Around|1.0||
318|cowcowtony|Future Trax 3|3.5||Fixed on 2026-04-16
319|Naito|N1|2.5||
320|Sebas Tian|SAC - Feng City Run (Lv2)|0.5||
321|cowcowtony|Escape from the Sun (HD)|3.5||
322|Eliope|Makina Honor (Black Texture)|2.0|inactive|
323|Eliope|Makina Honor (Misty Edit by Riblei)|2.0|inactive|
324|Leafy|OCD|4.0||
325|Charlotte|Chess ll “Rook”|6.0||
326|Eliope|Nawak 4|0.5||
327|Loki|Racing Hard 123|4.0||Fixed on 2026-01-24
328|Sub|Unfinished Map|3.0||
329|Naito|N3|3.5||
330|Eliope|Blood of the Racers 2 (Water Edit by Riblei)|0.5|botr botr2 inactive|
331|Ace|Race 2|1.5|inactive|Fixed on 2025-11-30
332|Hong Yao|Hong Racing|1.0|inactive|
333|Konor|Hot Lava (Easy)|2.5||Fixed on 2026-02-10
334|cowcowtony|Future Trax 7|4.5||
335|Kari|Skate|1.0||
336|Riblei|Celestial Marine II|3.5||
337|Zil|Irì spid 2.0|1.0||
338|Eliope|Makina Honor|2.0||
339|cowcowtony|Roller Coaster Type B (Easy)|0.5|inactive|
340|Mb12|Lava Madness|3.5||
341|zender|Spear (Everything Hookable)|4.0||
342|Azis Ackerman|Puzzle Map|4.0||Fixed on 2026-05-05
343|KhyleKa|Med Racing|2.0||
345|zender|Eternal Haste (Hard)|4.5||
346|oNoto|LaLy LowS|3.0||
347|oNoto|LaLy Rises (Easy)|4.0||
348|oNoto|Racing LavaEZ|3.5||
349|Zil|Easy af 2.0|4.5||
350|YukiharaSaiki|Metal Racing|1.5||
351|Sub|Racing City (with CP)|0.5|inactive|
352|oNoto|LaLy Blet|3.5||
353|Eliope|Race King Volcano Special Training|5.5||
354|Riblei|Celestial Dreams|1.0||Updated on 2025-10-26
355|Rin|Bus to Hell 1|3.0||Fixed on 2026-01-17
356|Riblei|Steps (Tilted)|3.0||
357|AndyXest|Celestial Statue|4.0||
359|oNoto|Racing 002 (Hard)|3.0||
360|cowcowtony|Future Trax 5|5.0||
361|Appolina|Red Mirrored Akina|4.5||
362|Eliope|Warped Fusion|3.5||Updated on 2026-01-15
363|Zil|Irì spid √3|2.5||Fixed on 2026-05-28
364|MASKSLAVE|MASKSLAVE 2|3.5||
365|Zil|Easy af|4.0||
366|oNoto|Circle Lava|4.0||
367|Naito|NTK 5|5.0||
368|Rayzu & Riblei|Ex'd III|3.0||
369|Loki|Unknown (1)|4.5||
370|Konor|Hot Lava (Hard)|3.0||Fixed on 2026-02-10
371|Riblei|Falling Candies (Obstacle Edit by Eim)|3.5||
372|MASKSLAVE|I7 Racing|3.5||
373|Riblei|Ex'd IV|1.0||Updated on 2025-10-26
374|Envy|Racing Forest (Short)|1.5||Fixed on 2026-06-03
375|oNoto|LaLy Red Lava|3.5||
376|Eliope|Makina Honor (Transparent Texture by Unknown)|2.0|inactive|
377|Eliope|Mayaka|4.0||Updated on 2026-01-31
378|Rayzu & Riblei|Ex'd|3.0||
379|Riblei|Celestial Marine I|4.0||ft. Alex4win & Sylvia
380|Eliope|Blood of the Racers I, II, IV (Fused by Riblei)|4.5|botr botr1 botr2 botr4|
381|Unknown|Wind Series 'Vata Racing'|3.0||
382|Unknown|Wind Series 'Vata Racing' (Lv2)|4.0||
383|oNoto|LaLy First|3.5||
384|Riblei & Eliope|Machina 2 Black Edition (Later Half Cut, Trap Edit by Riblei)|4.0||Fixed CPs on 2026-04-18
385|Eliope|222 'Towers Map' [Official] (Texture by Riblei)|3.0||
386|Incendium|Inferno 2|6.5||
387|Naito|NTK 3|4.0||
388|cowcowtony|Future Trax 6 Bend|4.0||Fixed on 2026-01-18
389|Appolina|Endless Lava Obstacles 3 'Tribute' (V1)|4.0||
390|cowcowtony|Escaping Light|0.5|inactive|
391|Guest Creator|Very Hard Racing|5.0||Fixed on 2025-11-27
392|Fruity|Squid Game|3.0||Updated on 2026-01-15
393|Cherry|Despair|5.0||
394|MASKSLAVE|MS Racing 2|2.0||
395|Fex|IKEA Racing Map|2.0||Fixed on 2026-03-19
396|cowcowtony|Future Trax 6|4.0||
397|cowcowtony|Falling Fred|2.0||
398|John|Indoor Racing|1.0||
399|Eliope|BotR 1 & 2 (Fused by Joshy)|4.5||
400|oNoto|Racing Lava Hard|3.5||
401|AndyXest|HareTroop|4.0||
402|Riblei|Loope le Loope|4.0||Updated on 2025-10-26
403|Chrysoprase|The Space Cube in Space (ft. Riblei) [Lite Edit]|4.0||
404|cowcowtony|Future Trax 4|6.0||
405|Eliope|Makina Source LV2 (Texture Edit by Riblei)|3.0||
406|Sylvia|Pinku|5.0||Fixed on 2025-11-30
407|Sebas Tian|SAC - Cargo Chase 2 (Edit by Eliope)|2.0||
408|Riblei|Machina Classic|3.5||
409|oNoto|Obstacle Rooms|4.0||
410|Naito|NTK 4|4.5||
411|Kari|Lucky Volcano (V6)|5.5||
412|Naito|NTK 8|5.0||
413|cowcowtony|Escape from Punk|1.0||
414|Eliope|Nawak 1|1.5||
415|Eliope|Makina Royal + TWotR (Tourney Version by Riblei)|4.0||
416|zender|Algernon (Static)|0.5||
417|cowcowtony|Isolated City Racing (Easy)|0.5||
418|Appolina|Endless Lava Obstacles 5 (WIP)|4.0||
419|Titan TV|Ball Face|5.5||
420|Eliope|BotR Moving|5.0||
421|Eliope|Blood of the Racers 2|5.0|botr botr2|
422|Eliope|Makina Source Lv1|1.0||
424|Chrysoprase|Pistachio|3.5||
425|COMPANY|PD Race (PUAE)|3.0||
426|Rayzu & Riblei|Ex'd II (Red Lava)|2.0||
427|Zek|First|5.0||Fixed on 2026-05-18
428|Cherry|A Ride of Love (Lv2)|3.5||
429|cowcowtony|Roller Coaster Type B (Hard)|5.0|inactive|
430|Ben|Lobby|3.5||
431|Eliope|Makina Red (Full Lava Edit by Riblei)|3.5||
432|Eliope|Port Racers + Makina Red (Fused by Riblei)|4.0||
433|Hong Yao|Hong's Racing Akina (Drunk Edit by Riblei)|3.5||
434|cowcowtony|Simple Mindfuck|0.5||
435|cowcowtony|Future Trax 11|4.0||
436|MASKSLAVE|MAS Racing|3.0||
437|Riblei|Feng's Akina (Ellestra Edit)|3.5||
438|Eliope|Makina ABC|3.5||
439|Eliope|Nano Racing 40 Yards Quadrated (Edit by Unknown)|0.5||
440|oNoto|LaLy Blocky Lava (Recolored by Eliope)|4.0||
441|Riblei|Ultra Steps|3.0||
442|Eliope|Flowers of the Racers (Edit by Unknown)|0.5||
443|Eliope|Makina Honor (Misty Lava Edit by Riblei)|2.0|inactive|
444|El_Mata_Pokemon|No Hook No Gas Map|2.0||Fixed by Eliope
445|Pixell|Pixo Map|3.0||Fixed on 2026-01-24
446|cowcowtony|No Room for Hesitation|3.5||
447|Aila|A-12|4.0||
448|Hong Yao|Hong's Laboratory (Lava)|1.0||
449|Riblei|Celestial Ellestra II|3.5||
450|Riblei|Celestial Steel (Speed Edition)|2.5||
451|cowcowtony|Experimental Map|0.5||Fixed on 2026-01-18
452|Incendium|Inferno 1 Imp Edition (Hookable Arrows)|5.0||
453|Eliope|District Racers (Extended by Riblei)|0.5||
454|Sebas Tian|SAC - Ultimate|5.0|unranked|Fixed on 2026-01-24
455|Riblei|Celestial Steel|3.0||Updated on 2025-10-26
456|oNoto|100 Subs Map|3.5||
457|Rin|Bus To Hell 2|3.0||Fixed on 2026-01-17
458|Kido|Cube Race|3.0|inactive|Fixed on 2025-11-19
460|Eliope|Port Racers II|0.5||Updated on 2026-01-14
461|Riblei|Longest Line (Original by Eliope)|2.0||
462|Sylcium|Long Racing Map (Lava, Texture Edit by Riblei)|3.5||
463|Rayzu|Town Laps 2|0.5||
464|cowcowtony|Simple Marathon|0.5||CP fixed
465|Eliope|222 + 2 (Edit by Riblei)|3.0||Fixed on 2026-03-19
466|Naito|NTK 7|6.5||
467|zender|EWeek Map|0.5||
468|Eliope|The Way of the Racers (Bois)|1.0|twotr twor|Fixed on 2026-03-20
469|MASKSLAVE|Letters Map|3.5||
470|ZeroX|Final V (Incomplete)|4.0||Fixed on 2026-05-18
471|Hixan|The Large Maze V3|3.5||
472|Ben|Smiley Face Map|1.0||
473|MASKSLAVE|MS Racing 3|3.5||
474|Zil|reeeeeeeeeeeeee2|1.5||
475|Riblei|Chimera|4.5||
476|cowcowtony|Watch Out Your Head|1.0||
477|Eliope|Blood of the Racers 1 (Tilted by oNoto)|4.5|botr botr1|
478|Eliope|The Way of the Racers (Aride)|1.0|twotr twor|Fixed on 2026-03-20
479|Sylcium|Racing Map|1.0||
480|Eliope|Makina Honor (Brick)|2.0|inactive|
481|Eliope|Makina Ice|0.5||Fixed holes
482|Eliope|Makina Speed (Lava, Reverse Edit by Riblei)|3.5||
483|Unknown|Unknown Lava Racing Map|3.5||
484|Naito|NTK 6|6.0||
486|Eliope|Makina Red and More (Rainbow Edit by Riblei)|3.0||
487|ZeroX|Reel-In Practice|1.0||
488|Eliope|Nawak 3|3.5||
489|Kari|Unnamed Map|3.0||
490|ZeroX|Long Long Lava Turn Practice Racing Map|4.0||
491|Esli|World of Lava|5.5||
492|Sebas Tian|SAC - City Run (Lv1)|3.0||Fixed on 2025-11-30
493|Incendium|Full Double Inferno Experience|6.5||
494|Chrysoprase|Another Brick in the Wall (Lava)|3.5||
495|Sebas Tian|SAC - Feng City Run (Lv5)|4.0||
497|Eliope|Makina Dro (Full Lava Edit by Riblei)|4.0||
498|Riblei & Eliope|Makina Royal + Machina 2 (Fused by Riblei)|3.5||Fixed CPs on 2026-04-18
499|Eliope|Makina Speed ASO (Lava Edit by NexS7)|2.0||
501|Eliope|Makina Royal|2.0||
502|oNoto|Laly Pink (Short Ver.)|3.5||
503|LuigiKkjk|Dark Racing|1.5||
504|Hong Yao|Hong's Laboratory|0.5||
505|Sebas Tian|Yegrocia Region|0.5||Fixed on 2026-01-25
506|Appolina|Endless Lava Obstacles 1 'Play'|4.0||
507|Sylcium|Feng's Akina|0.5|inactive|
508|zender|Snail|3.0||
509|Eliope|Makina Dro + Port Racers 1 (Fused by Zil)|3.5||Fixed on 2026-05-28
510|Guest Creator|Lava Maze Map|5.0||
511|oNoto|Racing 001 Easy (No Lava)|0.5||
512|Eliope|The Way of the Racers (Lava)|3.5|twotr twor|Fixed on 2026-03-20
513|zender|Eternal Haste|4.0||
514|Eliope|Nano Racing Zig-Zag H|0.5||
515|Eliope|222 'Towers Map' (Brick Texture by Riblei)|3.0||
516|cowcowtony|Tutorial Racing Map (CPs Added by Fruity)|3.0||
