/// Options
EditorVersion:1.0|Description:|HasWeather:0
Scene,Geometry/Cuboid,19,0,1,1,1,0,Cuboid,-228.4854,276.4544,-414.0985,88.74258,357.0982,-0.0002382695,4.41,9.439002,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/94.39002,;
Scene,Geometry/Cuboid,20,0,1,1,1,0,Cuboid,-230.7415,250.9352,-413.6519,88.74258,357.0982,-0.0002382695,4.41,9.439002,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/94.39002,;
Scene,Geometry/Cuboid,21,0,1,1,1,0,Cuboid,235.4433,294.786,-524.7037,85.00696,266.9887,0.0001177126,4.41,7.31757,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/73.1757,;
Scene,Geometry/Cuboid,22,0,1,1,1,0,Cuboid,233.1871,269.2668,-524.2572,85.00696,266.9887,0.0001177126,4.41,7.31757,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/73.1757,;
Scene,Geometry/Cuboid,23,0,1,1,1,0,Cuboid,-236.4201,343.015,-152.5779,88.74258,357.0982,-0.0002382695,4.41,7.154478,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/71.54478,;
Scene,Geometry/Cuboid,24,0,1,1,1,0,Cuboid,-238.6763,317.4958,-152.1313,88.74258,357.0982,-0.0002382695,4.41,7.154478,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/71.54478,;
Scene,Geometry/Cuboid,25,0,1,1,1,0,Cuboid,270.739,290.8302,46.65324,53.52045,173.2847,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,26,0,1,1,1,0,Cuboid,273.3444,289.7004,-4.750859,51.01115,1.043896,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,27,0,1,1,1,0,Cuboid,103.4389,296.5137,-473.7989,57.09977,87.91209,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,28,0,1,1,1,0,Cuboid,-17.70944,245.8537,-478.8257,57.09977,87.91209,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,29,0,1,1,1,0,Cuboid,-120.1421,254.8154,-484.2145,57.09982,87.91221,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,30,0,1,1,1,0,Cuboid,-68.92577,250.3345,-481.5201,47.11506,265.9302,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,31,0,1,1,1,0,Cuboid,-171.358,259.2962,-486.9089,47.11506,265.9302,1.756404E-05,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,32,0,1,1,1,0,Cuboid,275.9498,288.5705,-56.15499,53.52045,173.2847,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,33,0,1,1,1,0,Cuboid,268.1336,291.9601,98.05737,51.01115,1.043896,-5.351612E-05,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,34,0,1,1,1,0,Cuboid,273.6937,263.0513,-55.70843,53.52045,173.2847,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,35,0,1,1,1,0,Cuboid,268.4828,265.311,47.09981,53.52045,173.2847,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,36,0,1,1,1,0,Cuboid,271.0883,264.1812,-4.304295,51.01115,1.043896,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,37,0,1,1,1,0,Cuboid,265.8774,266.4409,98.50394,51.01115,1.043896,-5.351612E-05,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,38,0,1,1,1,0,Cuboid,-19.96558,220.3344,-478.3792,57.09977,87.91209,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,39,0,1,1,1,0,Cuboid,-122.3982,229.2961,-483.7679,57.09977,87.91209,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,40,0,1,1,1,0,Cuboid,-71.1819,224.8153,-481.0736,47.11506,265.9302,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,41,0,1,1,1,0,Cuboid,101.1828,270.9944,-473.3523,57.09977,87.91209,180,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,42,0,1,1,1,0,Cuboid,-173.6141,233.7769,-486.4623,47.11506,265.9302,1.756404E-05,4.41,1.904972,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.04972,;
Scene,Geometry/Cuboid,43,0,1,1,1,0,Cuboid,-42.05475,330.0877,90.6577,88.74258,357.0982,179.9998,4.41,2.15794,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.5794,;
Scene,Geometry/Cuboid,44,0,1,1,1,0,Cuboid,-725.7172,310.345,79.07028,75.19801,87.4305,179.9997,4.41,2.15794,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.5794,;
Scene,Geometry/Cuboid,45,0,1,1,1,0,Cuboid,-44.31089,304.5685,91.10426,88.74258,357.0982,179.9998,4.41,2.15794,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.5794,;
Scene,Geometry/Cuboid,46,0,1,1,1,0,Cuboid,-727.9733,284.8258,79.51685,75.19801,87.4305,179.9997,4.41,2.15794,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.5794,;
Scene,Geometry/Cuboid,47,0,1,1,1,0,Cuboid,-720.3996,308.0389,-25.84481,75.19801,87.4305,-0.000327501,4.41,2.157932,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.57932,;
Scene,Geometry/Cuboid,48,0,1,1,1,0,Cuboid,62.47702,320.9424,96.15687,88.74258,357.0982,179.9998,4.41,2.157932,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.57932,;
Scene,Geometry/Cuboid,49,0,1,1,1,0,Cuboid,60.22089,295.4232,96.60343,88.74258,357.0982,179.9998,4.41,2.157932,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.57932,;
Scene,Geometry/Cuboid,50,0,1,1,1,0,Cuboid,-722.6557,282.5197,-25.39824,75.19801,87.4305,-0.000327501,4.41,2.157932,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/21.57932,;
Scene,Geometry/Cuboid,51,0,1,1,1,0,Cuboid,-19.61792,318.3536,42.62589,77.7414,304.2415,179.9999,4.41,1.920124,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20124,;
Scene,Geometry/Cuboid,52,0,1,1,1,0,Cuboid,-770.0738,288.7022,56.43769,72.80103,31.62237,180.0001,4.41,1.920124,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20124,;
Scene,Geometry/Cuboid,53,0,1,1,1,0,Cuboid,-21.87405,292.8344,43.07245,77.7414,304.2415,179.9999,4.41,1.920124,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20124,;
Scene,Geometry/Cuboid,54,0,1,1,1,0,Cuboid,-772.33,263.183,56.88425,72.80103,31.62237,180.0001,4.41,1.920124,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20124,;
Scene,Geometry/Cuboid,55,0,1,1,1,0,Cuboid,-766.8643,287.3104,-6.884187,74.87833,142.9854,-0.000144003,4.41,1.92012,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.2012,;
Scene,Geometry/Cuboid,56,0,1,1,1,0,Cuboid,43.47261,312.8339,45.94495,85.74329,50.60594,-0.0002990613,4.41,1.92012,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.2012,;
Scene,Geometry/Cuboid,57,0,1,1,1,0,Cuboid,41.21648,287.3147,46.39151,85.74329,50.60594,-0.0002990613,4.41,1.92012,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.2012,;
Scene,Geometry/Cuboid,58,0,1,1,1,0,Cuboid,-769.1205,261.7912,-6.437624,74.87827,142.9855,-5.891007E-05,4.41,1.92012,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.2012,;
Scene,Geometry/Cuboid,59,0,1,1,1,0,Cuboid,-40.50176,328.2126,75.1221,75.83842,350.4956,180.0003,4.41,1.920114,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20114,;
Scene,Geometry/Cuboid,60,0,1,1,1,0,Cuboid,-740.3986,304.9206,77.54893,62.86835,79.31356,179.9999,4.41,1.920114,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20114,;
Scene,Geometry/Cuboid,61,0,1,1,1,0,Cuboid,-42.75789,302.6934,75.56866,75.83842,350.4956,180.0003,4.41,1.920114,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20114,;
Scene,Geometry/Cuboid,62,0,1,1,1,0,Cuboid,-742.6547,279.4014,77.99549,62.86835,79.31356,179.9999,4.41,1.920114,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20114,;
Scene,Geometry/Cuboid,63,0,1,1,1,0,Cuboid,-735.1715,302.6538,-25.57874,63.23662,96.14796,4.550356E-05,4.41,1.920112,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20112,;
Scene,Geometry/Cuboid,64,0,1,1,1,0,Cuboid,62.24912,319.2231,80.52762,77.17722,5.862077,-7.693847E-05,4.41,1.920112,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20112,;
Scene,Geometry/Cuboid,65,0,1,1,1,0,Cuboid,59.99298,293.7039,80.97418,77.17722,5.862077,-7.693847E-05,4.41,1.920112,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20112,;
Scene,Geometry/Cuboid,66,0,1,1,1,0,Cuboid,-737.4277,277.1346,-25.13217,63.23662,96.14796,4.550356E-05,4.41,1.920112,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20112,;
Scene,Geometry/Cuboid,67,0,1,1,1,0,Cuboid,31.96498,312.2586,38.72394,89.44645,65.15888,0.001413825,4.41,1.920111,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20111,;
Scene,Geometry/Cuboid,68,0,1,1,1,0,Cuboid,-773.5026,284.4608,4.635917,81.10269,156.9483,0.0001490441,4.41,1.920111,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20111,;
Scene,Geometry/Cuboid,69,0,1,1,1,0,Cuboid,29.70885,286.7394,39.1705,89.44645,65.15888,0.001413825,4.41,1.920111,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20111,;
Scene,Geometry/Cuboid,70,0,1,1,1,0,Cuboid,-775.7587,258.9416,5.082481,81.10269,156.9483,0.0001490441,4.41,1.920111,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20111,;
Scene,Geometry/Cuboid,71,0,1,1,1,0,Cuboid,-29.47667,321.4532,51.46313,76.13236,319.554,180.0001,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,72,0,1,1,1,0,Cuboid,-762.0152,293.3083,66.37461,67.91406,46.69089,180,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,73,0,1,1,1,0,Cuboid,52.74452,314.2598,55.78862,82.31599,35.92147,0.000434199,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,74,0,1,1,1,0,Cuboid,-757.8326,291.4945,-16.14808,69.55694,128.2473,-1.466645E-05,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,75,0,1,1,1,0,Cuboid,50.48838,288.7406,56.23519,82.31599,35.92147,0.000434199,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,76,0,1,1,1,0,Cuboid,-31.73281,295.934,51.90969,76.13236,319.5537,179.9999,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,77,0,1,1,1,0,Cuboid,-760.0887,265.9753,-15.70152,69.55694,128.2473,-1.466645E-05,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,78,0,1,1,1,0,Cuboid,-764.2714,267.7891,66.82117,67.91406,46.69089,180,4.41,1.920108,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20108,;
Scene,Geometry/Cuboid,79,0,1,1,1,0,Cuboid,-775.5201,285.3358,44.4417,78.74265,17.40328,180,4.41,1.920107,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20107,;
Scene,Geometry/Cuboid,80,0,1,1,1,0,Cuboid,-7.695368,315.7285,36.63749,80.18402,289.1602,180.0003,4.41,1.920107,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20107,;
Scene,Geometry/Cuboid,81,0,1,1,1,0,Cuboid,-9.951503,290.2092,37.08405,80.18402,289.1602,180.0003,4.41,1.920107,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20107,;
Scene,Geometry/Cuboid,82,0,1,1,1,0,Cuboid,-777.7763,259.8166,44.88827,78.74265,17.40328,180,4.41,1.920107,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20107,;
Scene,Geometry/Cuboid,83,0,1,1,1,0,Cuboid,5.478512,313.7573,33.90607,83.28306,274.3262,180.0005,4.41,1.920105,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20105,;
Scene,Geometry/Cuboid,84,0,1,1,1,0,Cuboid,-777.9832,283.439,31.20415,85.33208,3.78727,179.9998,4.41,1.920105,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20105,;
Scene,Geometry/Cuboid,85,0,1,1,1,0,Cuboid,3.222377,288.238,34.35263,83.28306,274.3262,180.0005,4.41,1.920105,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20105,;
Scene,Geometry/Cuboid,86,0,1,1,1,0,Cuboid,-780.2394,257.9198,31.65071,85.33208,3.78727,179.9998,4.41,1.920105,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20105,;
Scene,Geometry/Cuboid,87,0,1,1,1,0,Cuboid,19.00592,312.5738,34.61772,86.81174,259.6916,180.0009,4.41,1.920104,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20104,;
Scene,Geometry/Cuboid,88,0,1,1,1,0,Cuboid,-777.2951,283.1406,17.62713,87.83021,170.428,0.001037241,4.41,1.920104,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20104,;
Scene,Geometry/Cuboid,89,0,1,1,1,0,Cuboid,16.74979,287.0545,35.06429,86.81174,259.6916,180.0009,4.41,1.920104,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20104,;
Scene,Geometry/Cuboid,90,0,1,1,1,0,Cuboid,-779.5512,257.6214,18.0737,87.83021,170.428,0.001037241,4.41,1.920104,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20104,;
Scene,Geometry/Cuboid,91,0,1,1,1,0,Cuboid,59.14884,316.4389,67.58411,79.39353,21.01666,8.349304E-05,4.41,1.920101,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20101,;
Scene,Geometry/Cuboid,92,0,1,1,1,0,Cuboid,-747.0227,296.7277,-22.52445,65.55222,112.5952,1.650347E-05,4.41,1.920101,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20101,;
Scene,Geometry/Cuboid,93,0,1,1,1,0,Cuboid,56.89271,290.9197,68.03068,79.39353,21.01666,8.349304E-05,4.41,1.920101,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20101,;
Scene,Geometry/Cuboid,94,0,1,1,1,0,Cuboid,-749.2789,271.2085,-22.07789,65.55222,112.5952,1.650347E-05,4.41,1.920101,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20101,;
Scene,Geometry/Cuboid,95,0,1,1,1,0,Cuboid,-751.8936,298.84,73.57525,64.49047,62.66445,180.0001,4.41,1.920097,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20097,;
Scene,Geometry/Cuboid,96,0,1,1,1,0,Cuboid,-36.59976,324.8159,62.54697,75.48248,335.0145,179.9999,4.41,1.920097,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20097,;
Scene,Geometry/Cuboid,97,0,1,1,1,0,Cuboid,-38.85589,299.2966,62.99354,75.48248,335.0145,179.9999,4.41,1.920097,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20097,;
Scene,Geometry/Cuboid,98,0,1,1,1,0,Cuboid,-754.1497,273.3208,74.02181,64.49047,62.66445,180.0001,4.41,1.920097,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/19.20097,;
Scene,Geometry/Cuboid,99,0,1,1,1,0,Cuboid,-234.1897,333.9151,-210.1088,51.01115,1.043896,-5.351612E-05,4.41,1.047735,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47735,;
Scene,Geometry/Cuboid,100,0,1,1,1,0,Cuboid,-236.4458,308.3959,-209.6622,51.01115,1.043896,-5.351612E-05,4.41,1.047735,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47735,;
Scene,Geometry/Cuboid,101,0,1,1,1,0,Cuboid,268.0588,284.0374,86.30187,66.09264,359.2082,-7.24191E-06,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,102,0,1,1,1,0,Cuboid,273.2697,281.7776,-16.50636,66.09264,359.2082,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,103,0,1,1,1,0,Cuboid,-57.75698,241.6367,-480.7628,62.27116,266.4374,6.972758E-05,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,104,0,1,1,1,0,Cuboid,115.9624,303.1387,-473.3097,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,105,0,1,1,1,0,Cuboid,-132.6656,248.1903,-484.7036,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,106,0,1,1,1,0,Cuboid,-107.6186,261.4404,-483.7254,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,107,0,1,1,1,0,Cuboid,-160.1892,250.5983,-486.1516,62.27116,266.4374,6.972758E-05,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,108,0,1,1,1,0,Cuboid,-5.185975,252.4787,-478.3366,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,109,0,1,1,1,0,Cuboid,-234.1824,338.8415,-202.0544,66.09264,359.2082,-7.24191E-06,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,110,0,1,1,1,0,Cuboid,265.8027,258.5182,86.74844,66.09264,359.2082,-7.24191E-06,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,111,0,1,1,1,0,Cuboid,271.0135,256.2584,-16.0598,66.09264,359.2082,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,112,0,1,1,1,0,Cuboid,-109.8748,235.9212,-483.2788,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,113,0,1,1,1,0,Cuboid,113.7063,277.6195,-472.8632,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,114,0,1,1,1,0,Cuboid,-7.442109,226.9595,-477.89,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,115,0,1,1,1,0,Cuboid,-60.01311,216.1175,-480.3163,62.27116,266.4374,6.972758E-05,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,116,0,1,1,1,0,Cuboid,-134.9217,222.6711,-484.2571,72.25693,87.50095,180,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,117,0,1,1,1,0,Cuboid,-236.4386,313.3222,-201.6078,66.09264,359.2082,-7.24191E-06,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,118,0,1,1,1,0,Cuboid,-162.4453,225.0791,-485.705,62.27116,266.4374,6.972758E-05,4.41,1.047724,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47724,;
Scene,Geometry/Cuboid,119,0,1,1,1,0,Cuboid,272.019,298.2303,34.62962,68.60604,175.0271,180,4.41,1.047723,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47723,;
Scene,Geometry/Cuboid,120,0,1,1,1,0,Cuboid,277.2298,295.9706,-68.17862,68.60604,175.0271,180,4.41,1.047723,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/10.47723,;
