/// Options
EditorVersion:1.0|Description:|HasWeather:0
Scene,Geometry/Cylinder,23,0,1,1,1,0,KillCylinder,0,313.3975,-2000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,24,0,1,1,1,0,KillCylinder,-75,443.3012,-2000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,25,0,1,1,1,0,KillCylinder,75,443.3012,-2000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,26,0,1,1,1,0,KillCylinder,-75,356.6987,-2000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,27,0,1,1,1,0,KillCylinder,75,356.6987,-2000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,28,0,1,1,1,0,KillCylinder,-110,400,-2000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,29,0,1,1,1,0,KillCylinder,110,400,-2000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,30,0,1,1,1,0,KillCylinder,-55,495.2628,-2000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,31,0,1,1,1,0,KillCylinder,55,495.2628,-2000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,32,0,1,1,1,0,KillCylinder,-55,304.7321,-2000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,33,0,1,1,1,0,KillCylinder,55,304.7321,-2000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,34,0,1,1,1,0,KillCylinder,0,503.923,-1500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,35,0,1,1,1,0,KillCylinder,0,296.077,-1500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,36,0,1,1,1,0,KillCylinder,-90,451.9615,-1500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,37,0,1,1,1,0,KillCylinder,90,451.9615,-1500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,38,0,1,1,1,0,KillCylinder,-90,348.0385,-1500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,39,0,1,1,1,0,KillCylinder,90,348.0385,-1500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,40,0,1,1,1,0,KillCylinder,0,486.6025,-1500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,41,0,1,1,1,0,KillCylinder,0,313.3975,-1500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,42,0,1,1,1,0,KillCylinder,-75,443.3012,-1500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,43,0,1,1,1,0,KillCylinder,75,443.3012,-1500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,44,0,1,1,1,0,KillCylinder,-75,356.6987,-1500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,45,0,1,1,1,0,KillCylinder,75,356.6987,-1500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,46,0,1,1,1,0,KillCylinder,-110,400,-1500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,47,0,1,1,1,0,KillCylinder,110,400,-1500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,48,0,1,1,1,0,KillCylinder,-55,495.2628,-1500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,49,0,1,1,1,0,KillCylinder,55,495.2628,-1500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,50,0,1,1,1,0,KillCylinder,-55,304.7321,-1500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,51,0,1,1,1,0,KillCylinder,55,304.7321,-1500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,52,0,1,1,1,0,KillCylinder,0,503.923,-1000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,53,0,1,1,1,0,KillCylinder,0,296.077,-1000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,54,0,1,1,1,0,KillCylinder,-90,451.9615,-1000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,55,0,1,1,1,0,KillCylinder,90,451.9615,-1000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,56,0,1,1,1,0,KillCylinder,-90,348.0385,-1000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,57,0,1,1,1,0,KillCylinder,90,348.0385,-1000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,58,0,1,1,1,0,KillCylinder,0,486.6025,-1000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,59,0,1,1,1,0,KillCylinder,0,313.3975,-1000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,60,0,1,1,1,0,KillCylinder,-75,443.3012,-1000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,61,0,1,1,1,0,KillCylinder,75,443.3012,-1000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,62,0,1,1,1,0,KillCylinder,-75,356.6987,-1000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,63,0,1,1,1,0,KillCylinder,75,356.6987,-1000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,64,0,1,1,1,0,KillCylinder,-110,400,-1000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,65,0,1,1,1,0,KillCylinder,110,400,-1000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,66,0,1,1,1,0,KillCylinder,-55,495.2628,-1000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,67,0,1,1,1,0,KillCylinder,55,495.2628,-1000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,68,0,1,1,1,0,KillCylinder,-55,304.7321,-1000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,69,0,1,1,1,0,KillCylinder,55,304.7321,-1000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,70,0,1,1,1,0,KillCylinder,0,503.923,-500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,71,0,1,1,1,0,KillCylinder,0,296.077,-500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,72,0,1,1,1,0,KillCylinder,-90,451.9615,-500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,73,0,1,1,1,0,KillCylinder,90,451.9615,-500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,74,0,1,1,1,0,KillCylinder,-90,348.0385,-500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,75,0,1,1,1,0,KillCylinder,90,348.0385,-500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,76,0,1,1,1,0,KillCylinder,0,486.6025,-500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,77,0,1,1,1,0,KillCylinder,0,313.3975,-500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,78,0,1,1,1,0,KillCylinder,-75,443.3012,-500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,79,0,1,1,1,0,KillCylinder,75,443.3012,-500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,80,0,1,1,1,0,KillCylinder,-75,356.6987,-500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,81,0,1,1,1,0,KillCylinder,75,356.6987,-500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,82,0,1,1,1,0,KillCylinder,-110,400,-500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,83,0,1,1,1,0,KillCylinder,110,400,-500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,84,0,1,1,1,0,KillCylinder,-55,495.2628,-500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,85,0,1,1,1,0,KillCylinder,55,495.2628,-500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,86,0,1,1,1,0,KillCylinder,-55,304.7321,-500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,87,0,1,1,1,0,KillCylinder,55,304.7321,-500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,88,0,1,1,1,0,KillCylinder,0,503.923,0,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,89,0,1,1,1,0,KillCylinder,0,296.077,0,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,90,0,1,1,1,0,KillCylinder,-90,451.9615,0,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,91,0,1,1,1,0,KillCylinder,90,451.9615,0,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,92,0,1,1,1,0,KillCylinder,-90,348.0385,0,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,93,0,1,1,1,0,KillCylinder,90,348.0385,0,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,94,0,1,1,1,0,KillCylinder,0,486.6025,0,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,95,0,1,1,1,0,KillCylinder,0,313.3975,0,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,96,0,1,1,1,0,KillCylinder,-75,443.3012,0,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,97,0,1,1,1,0,KillCylinder,75,443.3012,0,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,98,0,1,1,1,0,KillCylinder,-75,356.6987,0,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,99,0,1,1,1,0,KillCylinder,75,356.6987,0,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,100,0,1,1,1,0,KillCylinder,-110,400,0,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,101,0,1,1,1,0,KillCylinder,110,400,0,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,102,0,1,1,1,0,KillCylinder,-55,495.2628,0,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,103,0,1,1,1,0,KillCylinder,55,495.2628,0,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,104,0,1,1,1,0,KillCylinder,-55,304.7321,0,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,105,0,1,1,1,0,KillCylinder,55,304.7321,0,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,106,0,1,1,1,0,KillCylinder,0,503.923,500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,107,0,1,1,1,0,KillCylinder,0,296.077,500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,108,0,1,1,1,0,KillCylinder,-90,451.9615,500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,109,0,1,1,1,0,KillCylinder,90,451.9615,500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,110,0,1,1,1,0,KillCylinder,-90,348.0385,500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,111,0,1,1,1,0,KillCylinder,90,348.0385,500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,112,0,1,1,1,0,KillCylinder,0,486.6025,500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,113,0,1,1,1,0,KillCylinder,0,313.3975,500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,114,0,1,1,1,0,KillCylinder,-75,443.3012,500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,115,0,1,1,1,0,KillCylinder,75,443.3012,500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,116,0,1,1,1,0,KillCylinder,-75,356.6987,500,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,117,0,1,1,1,0,KillCylinder,75,356.6987,500,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,118,0,1,1,1,0,KillCylinder,-110,400,500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,119,0,1,1,1,0,KillCylinder,110,400,500,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,120,0,1,1,1,0,KillCylinder,-55,495.2628,500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,121,0,1,1,1,0,KillCylinder,55,495.2628,500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,122,0,1,1,1,0,KillCylinder,-55,304.7321,500,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,123,0,1,1,1,0,KillCylinder,55,304.7321,500,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,124,0,1,1,1,0,KillCylinder,0,503.923,1000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,125,0,1,1,1,0,KillCylinder,0,296.077,1000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,126,0,1,1,1,0,KillCylinder,-90,451.9615,1000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,127,0,1,1,1,0,KillCylinder,90,451.9615,1000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,128,0,1,1,1,0,KillCylinder,-90,348.0385,1000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,129,0,1,1,1,0,KillCylinder,90,348.0385,1000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,130,0,1,1,1,0,KillCylinder,0,486.6025,1000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,131,0,1,1,1,0,KillCylinder,0,313.3975,1000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,132,0,1,1,1,0,KillCylinder,-75,443.3012,1000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,133,0,1,1,1,0,KillCylinder,75,443.3012,1000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,134,0,1,1,1,0,KillCylinder,-75,356.6987,1000,0,0,29.99477,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,135,0,1,1,1,0,KillCylinder,75,356.6987,1000,0,0,330.0052,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,136,0,1,1,1,0,KillCylinder,-110,400,1000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,137,0,1,1,1,0,KillCylinder,110,400,1000,0,0,90,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,138,0,1,1,1,0,KillCylinder,-55,495.2628,1000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,139,0,1,1,1,0,KillCylinder,55,495.2628,1000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,140,0,1,1,1,0,KillCylinder,-55,304.7321,1000,0,0,330.0052,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,141,0,1,1,1,0,KillCylinder,55,304.7321,1000,0,0,29.99477,0.04,1,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,142,0,1,1,1,0,KillCylinder,0,503.923,1500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,143,0,1,1,1,0,KillCylinder,0,296.077,1500,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,144,0,1,1,1,0,KillCylinder,-90,451.9615,1500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,145,0,1,1,1,0,KillCylinder,90,451.9615,1500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,146,0,1,1,1,0,KillCylinder,-90,348.0385,1500,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,147,0,1,1,1,0,KillCylinder,90,348.0385,1500,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,148,0,1,1,1,0,KillCylinder,0,486.6025,1500,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
